Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
Laura Razzolini,laura,razzolini,"""Improving Transparency in School Admissions: Theory and Experiment""",No,,,,,,,FALSE,,FALSE,
Laura Schechter,laura,schechter,Naïve advice and observational learning in experimental beauty- contest games,Yes,,,,,,,,,,
Laure SAULAIS,laure,saulais,Can sanctions create skeptics? An experimental investigation,No,,,,,,,FALSE,,FALSE,
Lauren Feiler,lauren,feiler,Bargaining with incomplete information,No,,,,,,,FALSE,,FALSE,
Laurent Denant Boemont,laurent,boemont,“Non-standard Preferences and Irrational Behavior in Auctions: New Evidence from the Field”,No,,,,,,,FALSE,,FALSE,
Laurent Denant-Boemont,laurent,denant-boemont,"“Eliciting Truth: An Experimental Approach,” ",No,,,,,,,FALSE,,FALSE,
Laurent DENANT-BOEMONT,laurent,denant-boemont,“Sharing as Risk Pooling in a Social Dilemma Experiment”,No,,,,,,,FALSE,,FALSE,
Lauri Saaksvuori,lauri,saaksvuori,Gender Differences in Wage Negotiations,No,,,,,,,FALSE,,FALSE,
Lava Yadav,lava,yadav,Reciprocity and reputation on credit market: Experimental evidence,No,,,,,,,FALSE,,FALSE,
Lawrence Choo,lawrence,choo,"""Is there really nothing to see here? On gender differences in preferences""",No,,,,,,,FALSE,,FALSE,
Lawrence De Geest,lawrence,geest,"""To follow the herd or break away? Overconfidence and Social Learning""",No,,,,,,,FALSE,,FALSE,
Le Zhang,le,zhang,"""Risk taking with externalities""",Yes,,,,,,,,,,
Leandro Carvalho,leandro,carvalho,"""A Tale of Two Preferences: Reconciling Inconsistencies Between Axioms and Choices""",No,,,,,,,FALSE,,FALSE,
Leeat Yariv,leeat,yariv,"""Do Minimum Wage Hikes Exacerbate Racial Differences in Hiring?""\",No,,,,,,,FALSE,,FALSE,
Lei Mao,lei,mao,"“An experimental Study of Income Redistribution: People's Opinion and Their Guess,” ",No,,,,,,,FALSE,,FALSE,
Lei Yue,lei,yue,,No,,,,,,,FALSE,,FALSE,
Leif Helland,leif,helland,Was Banfield right? New insights from a nationwide laboratory experiment,No,,,,,,,FALSE,,FALSE,
Lenka Fiala,lenka,fiala,"""Contingent thinking and complexity""",Yes,,,,,,,,,,
Lennart Stangenberg,lennart,stangenberg,How to distinguish economic from moral compensation in the rebound effect ? A theoretical and experimental approach,No,,,,,,,FALSE,,FALSE,
Leon Houf,leon,houf,Presidential Address,No,,,,,,,FALSE,,FALSE,
Leonard Treuren,leonard,treuren,,No,,,,,,,FALSE,,FALSE,
Leonidas Spiliopoulos,leonidas,spiliopoulos,Are teenagers consistent? Evidence from experiments in secondary schools,No,,,,,,,FALSE,,FALSE,
Leonie Gerhards,leonie,gerhards,Descriptive norms on children's preferences for truth-telling,No,,,,,,,FALSE,,FALSE,
Leonie Kühl,leonie,kühl,Belief Uncertainty and Stochastic Choice,No,,,,,,,FALSE,,FALSE,
Levent Neyse,levent,neyse,"“The ""Fake News"" Effect: An Experiment on Motivated Reasoning and Trust in News,” ",Yes,,,,,,,,,,
Levent Yilmaz,levent,yilmaz,Does upward mobility harm trust ?,No,,,,,,,FALSE,,FALSE,
Lexin Liang,lexin,liang,"""Cash posters in the lab: an experiment on horizontal and vertical reciprocity in the workplace""",No,,,,,,,FALSE,,FALSE,
Li Hao,li,hao,"""Preference Misrepresentation in Centralized Matching Clearinghouses: Experimental Evidence""",No,,,,,,,FALSE,,FALSE,
Li King King,li,king,Behaviour in a simple bargaining game of incomplete information,No,,,,,,,FALSE,,FALSE,
Li Tao,li,tao,Valuing personal safety and the gender earnings gap,No,,,,,,,FALSE,,FALSE,
Lia Flores,lia,flores,"""The effects of information provision on decisions over risky assets""",No,,,,,,,FALSE,,FALSE,
Lian Jian,lian,jian,A Cold Shower for the Hot Hand Fallacy,No,,,,,,,FALSE,,FALSE,
Lian Xue,lian,xue,"""Igniting Deliberation in High Stake Decisions: A Field Study""",No,,,,,,,FALSE,,FALSE,
Liang Qiao,liang,qiao,"""The Expressive Power of Voting Rules""",No,,,,,,,FALSE,,FALSE,
Lidia Vidal Melia,lidia,melia,After the virtual flood: risk perceptions and flood preparedness after virtual reality risk communication,No,,,,,,,FALSE,,FALSE,
Lidingrong  Huang,lidingrong,huang,The effect of relative performance feedback on effort and free riding in creative and repetitive team tasks,Yes,,,,,,,,,,
Lidingrong Huang,lidingrong,huang,,Yes,,,,,,,,,,
Lijia Tan,lijia,tan,Team production with endogenous costly monitoring,No,,,,,,,FALSE,,FALSE,
Lijia Wei,lijia,wei,The Gender Leadership Gap: An Experiment,No,,,,,,,FALSE,,FALSE,
Lilia Zhurakhovska,lilia,zhurakhovska,"Split In Probability Weights - Scarcity, Cognitive Load And Tunnelling",No,,,,,,,FALSE,,FALSE,
Lina Diaz,lina,diaz,"""Preference for Homogeneity? Occupational Segregation and Gender Stereotypes""",No,,,,,,,FALSE,,FALSE,
Lina Lozano,lina,lozano,Do women shy away from risky skill games?,No,,,,,,,FALSE,,FALSE,
Lina Maria Restrepo-Plaza,lina,restrepo-plaza,Pretrial Settlement and Coercion: an Experiment,No,,,,,,,FALSE,,FALSE,
Lina Ramirez,lina,ramirez,"""Understanding the Efficacy of Early Childhood Interventions: Insights from Kinderprep and a Replication""",Yes,,,,,,,,,,
Linda Kamas,linda,kamas,"""Can Matching Grants Help New Charities Compete with Estabilished Charirites?""",No,,,,,,,FALSE,,FALSE,
Linda KAMAS,linda,kamas,Measuring agents' overreaction to public information in beauty contest games,No,,,,,,,FALSE,,FALSE,
Linda Thunstrom,linda,thunstrom,,No,,,,,,,FALSE,,FALSE,
Linfeng Li,linfeng,li,,No,,,,,,,FALSE,,FALSE,
Lingbo Huang,lingbo,huang,"""Threshold Incentives and Academic Performance""",Yes,,,,,,,,,,
Lingfang  Li,lingfang,li,Easy come easy go: a strong and immediate conversion effect that was also short-lived,No,,,,,,,FALSE,,FALSE,
Lingqing Jiang,lingqing,jiang,Synergies of interventions to tackle climate change,No,,,,,,,FALSE,,FALSE,
Linh Vu,linh,vu,"""Anchor or Asset? The Role of Outside Obligations in Negotiations""",No,,,,,,,FALSE,,FALSE,
Linnea Wickstrom Ostervall,linnea,ostervall,The Demand for Expressing Emotions,No,,,,,,,FALSE,,FALSE,
Lionel Page,lionel,page,"""The Titanic effect: an experimental study of turnout in groupwise weighted voting""",No,,,,,,,FALSE,,FALSE,
Lisa Bruttel,lisa,bruttel,"""Gender differences in the willingness to compete against a standard""",No,,,,,,,FALSE,,FALSE,
Lisa Lenz,lisa,lenz,Speed Networking,No,,,,,,,FALSE,,FALSE,
Lisa Spantig,lisa,spantig,The Individual-Team Discontinuity Effect on Institutional Choices: Experimental Evidence in Voluntary Public Goods Provision,Yes,,,,,,,,,,
Lisa Windsteiger,lisa,windsteiger,The role of the advisor in risky decisions,No,,,,,,,FALSE,,FALSE,
Lise Vesterlund,lise,vesterlund,"""Agents' interaction and price dynamics: a lesson from the lab""",Yes,,,,,,,,,,
Lise VESTERLUND,lise,vesterlund,“Adverse Selection in Conservation Auctions: Theoretical and Experimental Results”,Yes,,,,,,,,,,
Lisette Ibanez,lisette,ibanez,"""Facial Expression Communications in Human/Human and Human/Machine Interactions""",No,,,,,,,FALSE,,FALSE,
Liu Yihong,liu,yihong,,No,,,,,,,FALSE,,FALSE,
Liza Charroin,liza,charroin,How Do Gender Quotas Affect Hierarchical Relationships? Complementary Evidence from a Representative Survey and Labor Market Experiments,No,,,,,,,FALSE,,FALSE,
Lluis Bru,lluis,bru,Understanding Overbidding in Second Price Auctions,No,,,,,,,FALSE,,FALSE,
Lonie Sebagh,lonie,sebagh,How Do Emotional States Impact Monetary Donation to Environmental NGOs?,No,,,,,,,FALSE,,FALSE,
Lorenz Goette,lorenz,goette,"""Cognitive Imprecision and Strategic Behavior""",Yes,,,,,,,,,,
Lorenzo Estepa Mohedano,lorenzo,mohedano,"""The Gift of Giving: Disclosing Tribute Donation Size and Taboo Charitable Behavior""",No,,,,,,,FALSE,,FALSE,
Lorenzo Spadoni,lorenzo,spadoni,"""Randomization behaviour and reliability of preference elicitation""",No,,,,,,,FALSE,,FALSE,
Lory Barile,lory,barile,"""Moral Rules and Social Preferences in Co-operation Problems""",No,,,,,,,FALSE,,FALSE,
Louis LEVY-GARBOUA,louis,levy-garboua,"“Discretionary Latitude and Relational Contracts""",No,,,,,,,FALSE,,FALSE,
Louis Lévy-Garboua,louis,lévy-garboua,Risk Elicitation Measures Do Not Always Fail,No,,,,,,,FALSE,,FALSE,
Louis Putterman,louis,putterman,Does social cognition make us irrational? Insights from comparative psychology,No,,,,,,,FALSE,,FALSE,
Louis PUTTERMAN,louis,putterman,“Market Competition and Contracting Outcomes”,No,,,,,,,FALSE,,FALSE,
Loukas Balafountas,loukas,balafountas,Bubbles and Experience: An Experiment with a Steady Inflow of New Traders,No,,,,,,,FALSE,,FALSE,
Loukas Balafoutas,loukas,balafoutas,"""Dynamic Coordination with Switching Costs""",No,,,,,,,FALSE,,FALSE,
Lu Dong,lu,dong,Competitiveness and Employability,No,,,,,,,FALSE,,FALSE,
Lu He,lu,he,,No,,,,,,,FALSE,,FALSE,
Luba Petersen,luba,petersen,Online Belief Elicitation,No,,,,,,,FALSE,,FALSE,
Lubomir Cingl,lubomir,cingl,Labor Market Concerns and Attitudes Towards Immigrants,No,,,,,,,FALSE,,FALSE,
Luca Carduck-Eick,luca,carduck-eick,"""Error reporting - The role of the reporting channel""",No,,,,,,,FALSE,,FALSE,
Luca Corazzini,luca,corazzini,Personal and societal conflict of redistributive principles and preferences,No,,,,,,,FALSE,,FALSE,
Luca CORAZZINI,luca,corazzini,Behaviorally prominent equilibria: A journey inside bounded rationality,No,,,,,,,FALSE,,FALSE,
Luca Fumarco,luca,fumarco,"""An Experimental Study of Decentralized Matching""",No,,,,,,,FALSE,,FALSE,
Luca Henkel,luca,henkel,"""Optimal (un)coordination under uncertainty: testing information design in the laboratory""",No,,,,,,,FALSE,,FALSE,
Luca Panaccione,luca,panaccione,The effect of economic distress on discriminatory behavior,No,,,,,,,FALSE,,FALSE,
Luca STANCA,luca,stanca,“Money and Minutia: The Domain-Specificity of Time Preference”,Yes,,,,,,,,,,
Lucas Braun,lucas,braun,"""Real-Time Monitoring at the Workplace""",No,,,,,,,FALSE,,FALSE,
Lucas Coffman,lucas,coffman,"""Group Image Concerns""",Yes,,,,,,,,,,
Lucas COFFMAN,lucas,coffman,“Institutions for Long-Run Cooperation: Experiments on Markets with Frictions”,Yes,,,,,,,,,,
Lucas Reddinger,lucas,reddinger,,No,,,,,,,FALSE,,FALSE,
Lucas Rentschler,lucas,rentschler,"""Role of Reciprocity and Expectations in a Pay-What-You-Want Environment: Evidence from the Field""",Yes,,,,,,,,,,
Ludovica Orlandi,ludovica,orlandi,"""Sequential voting with costly information""",No,,,,,,,FALSE,,FALSE,
Ludovica Spinola,ludovica,spinola,"Integrity Education, Market Intermediaries and Corruption",No,,,,,,,FALSE,,FALSE,
Luigi Butera,luigi,butera,Panel,Yes,,,,,,,,,,
Luigi BUTERA,luigi,butera,“Women’s Labor Choices in Promotion Tournaments: Experimental Evidence”,Yes,,,,,,,,,,
Luigi MITTONE,luigi,mittone,Favoritism practices at a young age: Evidence from the field,No,,,,,,,FALSE,,FALSE,
Luis Avalos Trujillo,luis,trujillo,,No,,,,,,,FALSE,,FALSE,
Luis Miller,luis,miller,“Kinks and Notches in the Lab”,No,,,,,,,FALSE,,FALSE,
Lukas Bolte,lukas,bolte,Can it Ever Hurt to Ask? Advice-Seeking and Gender,No,,,,,,,FALSE,,FALSE,
Lukas Hohl,lukas,hohl,Keeping it for yourself or your sister? Experimental evidence on birth order effects on resource distribution between kin and non-kin,No,,,,,,,FALSE,,FALSE,
Lukas Wenner,lukas,wenner,Self-confidence and unraveling in matching markets,No,,,,,,,FALSE,,FALSE,
Lukasz Tanajewski,lukasz,tanajewski,"""Social Status and public spiritedness in representation: Experimental evidence from Borneo""",No,,,,,,,FALSE,,FALSE,
Luke A. Boosey,luke,boosey,"""Embezzlement: Does Transparency Of Information Matter?""",No,,,,,,,FALSE,,FALSE,
Luke Boosey,luke,boosey,“Correlated Equilibria and Forecasts based on Naive Play in Hawk-Dove Games”,No,,,,,,,FALSE,,FALSE,
Luke Jones,luke,jones,On Measuring Ambiguity Aversion,No,,,,,,,FALSE,,FALSE,
Luke Lindsay,luke,lindsay,The Common-Probability Auction Puzzle,No,,,,,,,FALSE,,FALSE,
Lutfi Rahimi,lutfi,rahimi,"Rumor, information disclosure and food market fraud",No,,,,,,,FALSE,,FALSE,
Lutfunnahar Begum,lutfunnahar,begum,Capture vs. Recruitment of Subjects in Experiments Measuring Social Preferences,No,,,,,,,FALSE,,FALSE,
Luyao Zhang,luyao,zhang,,Yes,,,,,,,,,,
Lyla Zhang,lyla,zhang,Liquidity Requirements and the Interbank Loan Market: An Experimental Investigation,Yes,,,,,,,,,,
M. Kathleen Ngangoue,m.,ngangoue,"Overriding in teams: The role of beliefs, social image, and gender",No,,,,,,,FALSE,,FALSE,
Mackenzie Alston,mackenzie,alston,Let them play games! Comparing incentivized coordination games to elicit cultural beliefs with un-incentivized surveys,No,,,,,,,FALSE,,FALSE,
Madeline Werthschulte,madeline,werthschulte,"""Divisive Normalisation of Value Explains Choice-reversals in Decision-making Under Risk""",No,,,,,,,FALSE,,FALSE,
Magnus Knutsen,magnus,knutsen,Peers and Praise – Dishonesty in Repeated Competitions,No,,,,,,,FALSE,,FALSE,
Magnus Vaage Knutsen,magnus,knutsen,In-group bias in prisons,No,,,,,,,FALSE,,FALSE,
Maik Kecinski,maik,kecinski,"""Complexity and Sophistication""",No,,,,,,,FALSE,,FALSE,
Maivand Sarin,maivand,sarin,"""Investigating the introduction of a fintech advancement designed to reduce limited attention regarding inactive saving accounts - data, survey, and field experiment""",No,,,,,,,FALSE,,FALSE,
Maj-Britt Sterba,maj-britt,sterba,"""Taming Tech Giants' Algorithms: what do consumers know (and want)? An analysis of the Amazon Buy-Box case",No,,,,,,,FALSE,,FALSE,
Maja Adena,maja,adena,Behavioral Time Allocation,No,,,,,,,FALSE,,FALSE,
Malcolm Kass,malcolm,kass,Compulsory versus Voluntary Insurance: A Real Experiment,No,,,,,,,FALSE,,FALSE,
Mallory Avery,mallory,avery,Information avoidance with respect to intentions,No,,,,,,,FALSE,,FALSE,
Malte Baader,malte,baader,“Cooperation and Corruption”,No,,,,,,,FALSE,,FALSE,
Mana Komai,mana,komai,"""Conscience Crashing""",No,,,,,,,FALSE,,FALSE,
Manu Munoz Herrera,manu,herrera,"""Commitment vs. Flexibility: The Role of Experience""",No,,,,,,,FALSE,,FALSE,
Manuel Grieder,manuel,grieder,"""The Impact of Background Ambiguity On Risk Taking- Evidence From The Lab""",No,,,,,,,FALSE,,FALSE,
Manuel Hoffmann,manuel,hoffmann,"""Carbon Leakage from Road Transportation: Evidence from a Natural Experiment""",No,,,,,,,FALSE,,FALSE,
Manuel Munoz,manuel,munoz,"""Exclusive Dealing with Committed Price""",No,,,,,,,FALSE,,FALSE,
Manuela Angelucci,manuela,angelucci,"""Depression and Technology Adoption: Evidence from India""",No,,,,,,,FALSE,,FALSE,
Manwei Liu,manwei,liu,Extortion and contribution game: rationality versus fairness,No,,,,,,,FALSE,,FALSE,
Maoliang Ye,maoliang,ye,"Investigating the Introduction of a Regulatory Fintech Advancement Designed to Reduce Limited Attention Regarding Inactive Saving Accounts - Data, Survey, and Field Experiment",No,,,,,,,FALSE,,FALSE,
Marc Kaufmann,marc,kaufmann,Competition and Efficiency of Public Procurement,No,,,,,,,FALSE,,FALSE,
Marc Schürer,marc,schürer,Information and beliefs in a repeated normal-form game,No,,,,,,,FALSE,,FALSE,
Marc VORSATZ,marc,vorsatz,Reciprocity and status in a virtual field experiment,No,,,,,,,FALSE,,FALSE,
Marc Willinger,marc,willinger,"""Do Group Liability and Bigger Group Size Induce Free Riding Behavior among Microfinance Borrowers?""",No,,,,,,,FALSE,,FALSE,
Marc WILLNGER,marc,willnger,The Dynamics of Trader Motivations in Asset Bubbles,No,,,,,,,FALSE,,FALSE,
Marcel Preuss,marcel,preuss,Give Me a Challenge or Give Me a Raise,No,,,,,,,FALSE,,FALSE,
Marcela Ibanez,marcela,ibanez,Social Comparison and Contribution to Online Communities: A Field Experiment on MovieLens,No,,,,,,,FALSE,,FALSE,
Marcela Ibanez Diaz,marcela,diaz,Are there attraction and compromise effects in bargaining? Experimental evidence,No,,,,,,,FALSE,,FALSE,
Marcello Negrini,marcello,negrini,Endogenous vs. Exogenous Nudges in Social Dilemmas: An Online Experiment on Public Goods,No,,,,,,,FALSE,,FALSE,
Marcello Puca,marcello,puca,"""Resilience and Cooperation""",No,,,,,,,FALSE,,FALSE,
Marcelo SANCHEZ,marcelo,sanchez,Co-Employment of Permanent and Temporary Workers: Fairness Concerns and Social Comparison under Mult,No,,,,,,,FALSE,,FALSE,
Marcelo Tyszler,marcelo,tyszler,Goal Setting and Monetary Incentives. When Large Stakes Are Not Enough,No,,,,,,,FALSE,,FALSE,
Marcelo TYSZLER,marcelo,tyszler,"Cooperation and (multiple) third-party interventions through observation, reward and punishment",No,,,,,,,FALSE,,FALSE,
Marco A. Schwarz,marco,schwarz,Anger and Strategic Behavior: A Level-k Analysis,No,,,,,,,FALSE,,FALSE,
Marco Angrisani,marco,angrisani,"""The Curious Story of the Red Packet Game: A Behavioral & Labor Market Analysis of How WeChat Changed the Nature of Yearly Bonus Payments in China:",No,,,,,,,FALSE,,FALSE,
Marco Pelliccia,marco,pelliccia,Empowering girls: A randomized trial on mHealth ‘safe spaces’ during COVID-19,No,,,,,,,FALSE,,TRUE,NO EXPERIMENTS: https://sites.google.com/view/marcopelliccia/research?authuser=0
Marco Santorsola,marco,santorsola,"""Perceived Present Bias and Demand for Commitment""",No,,,,,,,FALSE,,TRUE,NO EXPERIMENTS: https://www.linkedin.com/in/marco-santorsola/details/publications/
Margaret McConnell,margaret,mcconnell,Intermediaries in Corruption: An Experiment,Yes,,,,,,,,,TRUE,
Maria Marino,maria,marino,Merit in a Society of Unequal Opportunity,No,,,,,,,FALSE,,FALSE,
Maria Mavlikeeva,maria,mavlikeeva,Color me honest! Time pressure and dis(honest) behavior,No,,,,,,,FALSE,,FALSE,
Maria Montero,maria,montero,"“A Survey on Attitudes Towards Deception in Experimental Economics,” ",No,,,,,,,FALSE,,FALSE,
Maria P. Recalde,maria,recalde,Is prompting participants to plan successful? Field evidence from MOOCs,No,,,,,,,FALSE,,FALSE,
Maria Polipciuc,maria,polipciuc,Choice under Uncertainty and Cognitive Load,No,,,,,,,FALSE,,FALSE,
Maria Porter,maria,porter,"""Fear and rationality of decision-making in the face of the pandemic""",No,,,,,,,FALSE,,FALSE,
Maria Recalde,maria,recalde,,No,,,,,,,FALSE,,FALSE,
Mariah Ehmke,mariah,ehmke,Inequality and Relative Ability Beliefs,No,,,,,,,FALSE,,FALSE,
Mariana Blanco,mariana,blanco,"""Moral hazard and excess returns in markets""",No,,,,,,,FALSE,,FALSE,
Mariana Carrera,mariana,carrera,"""Delegation and overhead aversion with multiple threshold public goods""",No,,,,,,,FALSE,,FALSE,
Marianna Baggio,marianna,baggio,"""The Shape of Moral Values""",No,,,,,,,FALSE,,FALSE,
Marianne Lumeau,marianne,lumeau,"""Deadlines, Procrastination, and Inattention in Charitable Giving: A Field Experiment""",No,,,,,,,FALSE,,FALSE,
Marianne LUMEAU,marianne,lumeau,“Heterogeneity of Ambiguity Preferences”,No,,,,,,,FALSE,,FALSE,
Marianne Stephanides,marianne,stephanides,Exploration versus exploitation: an RCT in public administration in the Netherlands,No,,,,,,,FALSE,,FALSE,
Marie Boltz,marie,boltz,Racing towards a finishing line: Theory and experiment,No,,,,,,,FALSE,,FALSE,
Marie Claire Villereal,marie,villereal,"""Continuous (vs binary) set of responses yields different outcomes""",No,,,,,,,FALSE,,FALSE,
Marie Claire Villeval,marie,villeval,Persuadable or Dissuadable Altruists? The Impact of News of Recipient Characteristics on Giving,Yes,,,,,,,,,,
Marie Claire VILLEVAL,marie,villeval,“Endogenous Income Effects and Overflow Risk in Peer Punishment Experiments”,Yes,,,,,,,,,,
Marie GOPPELSROEDER,marie,goppelsroeder,"“Sense of Unity and the Holdup Problem: A Behavioral Study of Firm Boundaries""",No,,,,,,,FALSE,,FALSE,
Marie Pierre DARGNIES,marie,dargnies,Insurance purchase for lowprobability losses,No,,,,,,,FALSE,,FALSE,
Marie-Charlotte Guetlein,marie-charlotte,guetlein,Belief Update and Mispricing in Stock Markets: Theory and Experiment,No,,,,,,,FALSE,,FALSE,
Marie-Claire Villeval,marie-claire,villeval,"""Public Information and Coordination with a Divided Majority""",Yes,,,,,,,,,,
Marie-Pierre Dargnies,marie-pierre,dargnies,"""Media Bias, Fake News, and Noncommitted Voters: Explorations using a Simple Voting Game""",No,,,,,,,FALSE,,FALSE,
Marieta Valente,marieta,valente,"""Trust in an expert depending on the expert's gender and the individual's characteristics: An experiment""",No,,,,,,,FALSE,,FALSE,
Marieta VALENTE,marieta,valente,“Cooperation Spillovers in Research and Price Competition in Experimental Markets”,No,,,,,,,FALSE,,FALSE,
Marina Agranov,marina,agranov,Preferences and Decision Support in Competitive Bidding,No,,,,,,,FALSE,,FALSE,
Marina Chugnova,marina,chugnova,"Risk Preferences of a UK Representative Sample: Temporal Stability, Cross-Validity, and External Validity of Experimental Measures",No,,,,,,,FALSE,,FALSE,
Marina Chugunova,marina,chugunova,"""Public Information and Coordination with a Divided Majority""",No,,,,,,,FALSE,,FALSE,
Marina FIEDLER,marina,fiedler,Voting for punishment systems in a voluntary contributions game with heterogeneous agents,No,,,,,,,FALSE,,FALSE,
Marina Krauss,marina,krauss,"""Empirical Challenges of Multivalued Treatment Effects""",No,,,,,,,FALSE,,FALSE,
Marina Pavan,marina,pavan,Reviewing and Predicting Cooperation in Prisoner's Dilemma Games: A Meta-Study,No,,,,,,,FALSE,,FALSE,
Marina Schroder,marina,schroder,"""Risk Preferences And Price Trends In Sequential Auctions: An Experimental Study""",No,,,,,,,FALSE,,FALSE,
Marina Schroeder,marina,schroeder,"""Imperfect Tacit Collusion and Asymmetric Price Transmission""",No,,,,,,,FALSE,,FALSE,
Mario Intini,mario,intini,"""Evaluation of Social Preference Representation Using CES Function""",No,,,,,,,FALSE,,FALSE,
Mario Mechtel,mario,mechtel,Gender Quotas and Task Assignment in Organizations,Yes,,,,,,,,,,
Marisa Hidalgo,marisa,hidalgo,Primate patience: from foraging to cooperation,No,,,,,,,FALSE,,FALSE,
Marissa Lepper,marissa,lepper,,No,,,,,,,FALSE,,FALSE,
Marissa Samuels,marissa,samuels,,No,,,,,,,FALSE,,FALSE,
Marius Alt,marius,alt,Optimal (mis-)coordination under uncertainty: Testing information design in the laboratory,No,,,,,,,FALSE,,FALSE,
Marius Dietsch,marius,dietsch,"""An Experimental Investigation of Global Games with Strategic Substitutes.""",No,,,,,,,FALSE,,FALSE,
Mark Dean,mark,dean,An experimental study of Double-Track auction,No,,,,,,,FALSE,,FALSE,
Mark Harrison,mark,harrison,“Epistemic Foundations for the Failure of Nash Equilibrium”,No,,,,,,,FALSE,,FALSE,
Mark Isaac,mark,isaac,Another willingness than the willingness to pay for food attributes,No,,,,,,,FALSE,,FALSE,
Mark Owens,mark,owens,"Attention, revealed preferences, and consequentialist behavior",No,,,,,,,FALSE,,FALSE,
Mark Schneider,mark,schneider,"""Noblesse Oblige: Holding High-Status Individuals to Higher Standards""",No,,,,,,,FALSE,,FALSE,
Markus Dertwinkel-Kalt,markus,dertwinkel-kalt,,No,,,,,,,FALSE,,FALSE,
Markus Eyting,markus,eyting,"""Perceived Relative Income and Revealed Preferences for Public Good Contributions: An application to air pollution""",No,,,,,,,FALSE,,FALSE,
Markus Mobius,markus,mobius,“An Experimental Study of Information Search and Decision-Making with Interactive Technology”,No,,,,,,,FALSE,,FALSE,
Markus Noth,markus,noth,Exploring gender differences in preferences over competition using switch points and relative payoffs,No,,,,,,,FALSE,,FALSE,
Markus Vomhof,markus,vomhof,Lying for Others: The impact of agency on misreporting in in an economic laboratory experiment,Yes,,,,,,,,,,
Maros Servatka,maros,servatka,,No,,,,,,,FALSE,,FALSE,
Maroš Servátka,maroš,servátka,Do Fixed-Prize Lotteries Crowd-Out Public Good Contributions Driven by Social Preferences?,No,,,,,,,FALSE,,FALSE,
Marta COELHO,marta,coelho,“Social Preference and Social Image: A Mousetracking Study”,No,,,,,,,FALSE,,FALSE,
Marta Kozakiewicz,marta,kozakiewicz,""" Delegated Portfolio Management and Incentive Contract in Social Trading Networks: An Experiment""",No,,,,,,,FALSE,,FALSE,
Marta Maras,marta,maras,"""Deciphering the Noise""",No,,,,,,,FALSE,,FALSE,
Marta MARAS,marta,maras,“Can feedback reduce the unskilled-and-unaware problem?”,No,,,,,,,FALSE,,FALSE,
Marta Serra-Garcia,marta,serra-garcia,"""The Design, Implementation, Performance, and General Equilibrium Dynamics of a Large, Multi-Market, Policy Constrained Auction""",No,,,,,,,FALSE,,FALSE,
Martin Abel,martin,abel,Groups and Socially Responsible Production: An Experiment with Farmers,No,,,,,,,FALSE,,FALSE,
Martin Angerer,martin,angerer,Frequent Reminders? A Natural Field Experiment with Taxpayers,No,,,,,,,FALSE,,FALSE,
Martin Bichler,martin,bichler,"""Even Brothers Keep Careful Accounts: An Experimental Repeated Trust Game and Political Identity""",No,,,,,,,FALSE,,FALSE,
Martin Casal Iglesias,martin,iglesias,Weak moral motivation leads to the decline of voluntary contributions,No,,,,,,,FALSE,,FALSE,
Martin Duwfenberg,martin,duwfenberg,Comparing the Strength of Self-Interest and Social Motivations,No,,,,,,,FALSE,,FALSE,
Martin G. Kocher,martin,kocher,A Finite Mixture of Behaviors in the Care Game,No,,,,,,,FALSE,,FALSE,
Martin Kocher,martin,kocher,Coauthor Penalty - Evidence from the lab,No,,,,,,,FALSE,,FALSE,
Martin Kocker,martin,kocker,Stereotypes in wine tasting,No,,,,,,,FALSE,,FALSE,
Martin Schmidt,martin,schmidt,"""Selection Into Competition And Advice From Men And Women""",No,,,,,,,FALSE,,FALSE,
Martin STROBEL,martin,strobel,Goals and incentives,No,,,,,,,FALSE,,FALSE,
Martin Vollmann,martin,vollmann,Overestimation and Competition: Evidence From The Lab,No,,,,,,,FALSE,,FALSE,
Martina Cecchini,martina,cecchini,Voluntary donations and reward oriented contributions: A field experiment on framing in a donation- based crowdfunding campaign,No,,,,,,,FALSE,,FALSE,
Martina Feherova,martina,feherova,"""Cooperation and Trust under the Influence of Alcohol""",No,,,,,,,FALSE,,FALSE,
Martina Vecchi,martina,vecchi,Price norms and consumer behavior,Yes,,,,,,,,,,
Martine Visser,martine,visser,Making an educated guess,No,,,,,,,FALSE,,FALSE,
Mary Rigdon,mary,rigdon,,No,,,,,,,FALSE,,FALSE,
Masamichi Sakagami,masamichi,sakagami,How level should the starting line be? Procedural fairness and wealth distribution in ultimatum games,No,,,,,,,FALSE,,FALSE,
Masao Fukutomi,masao,fukutomi,"""Artificial vs. emotional intelligence in Prisoner's Dilemma""",No,,,,,,,FALSE,,FALSE,
Masaru Sasaki,masaru,sasaki,Information-processing styles in the presence of abundant information: An experimental analysis,No,,,,,,,FALSE,,FALSE,
Matej Lorko,matej,lorko,Policy Incentives and Determinants of Citizens’ COVID-19 Vaccination Motives,No,,,,,,,FALSE,,FALSE,
Mathieu Lefebvre,mathieu,lefebvre,Probabilistic Reward Schemes: Experimental Evidence,No,,,,,,,FALSE,,FALSE,
Matias Cersosimo,matias,cersosimo,“To Learn or Not to Learn: Gender Stereotypes and Long-Term Effects of Temporary Affirmative Action”,No,,,,,,,FALSE,,FALSE,
