,Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
895,Lenka Fiala,lenka,fiala,"""Contingent thinking and complexity""",Yes,,,,,,,,,,
896,Lennart Stangenberg,lennart,stangenberg,How to distinguish economic from moral compensation in the rebound effect ? A theoretical and experimental approach,No,,,,,,,False,,False,
897,Leon Houf,leon,houf,Presidential Address,No,,,,,,,False,,False,
898,Leonard Treuren,leonard,treuren,,No,,,,,,,False,,False,
899,Leonidas Spiliopoulos,leonidas,spiliopoulos,Are teenagers consistent? Evidence from experiments in secondary schools,No,,,,,,,False,,False,
900,Leonie Gerhards,leonie,gerhards,Descriptive norms on children's preferences for truth-telling,No,,,,,,,False,,False,
901,Leonie Kühl,leonie,kühl,Belief Uncertainty and Stochastic Choice,No,,,,,,,False,,False,
902,Levent Neyse,levent,neyse,"“The ""Fake News"" Effect: An Experiment on Motivated Reasoning and Trust in News,” ",Yes,,,,,,,,,,
903,Levent Yilmaz,levent,yilmaz,Does upward mobility harm trust ?,No,,,,,,,False,,False,
904,Lexin Liang,lexin,liang,"""Cash posters in the lab: an experiment on horizontal and vertical reciprocity in the workplace""",No,,,,,,,False,,False,
905,Li Hao,li,hao,"""Preference Misrepresentation in Centralized Matching Clearinghouses: Experimental Evidence""",No,,,,,,,False,,False,
906,Li King King,li,king,Behaviour in a simple bargaining game of incomplete information,No,,,,,,,False,,False,
907,Li Tao,li,tao,Valuing personal safety and the gender earnings gap,No,,,,,,,False,,False,
908,Lia Flores,lia,flores,"""The effects of information provision on decisions over risky assets""",No,,,,,,,False,,False,
909,Lian Jian,lian,jian,A Cold Shower for the Hot Hand Fallacy,No,,,,,,,False,,False,
910,Lian Xue,lian,xue,"""Igniting Deliberation in High Stake Decisions: A Field Study""",No,,,,,,,False,,False,
911,Liang Qiao,liang,qiao,"""The Expressive Power of Voting Rules""",No,,,,,,,False,,False,
912,Lidia Vidal Melia,lidia,melia,After the virtual flood: risk perceptions and flood preparedness after virtual reality risk communication,No,,,,,,,False,,False,
913,Lidingrong  Huang,lidingrong,huang,The effect of relative performance feedback on effort and free riding in creative and repetitive team tasks,Yes,,,,,,,,,,
914,Lidingrong Huang,lidingrong,huang,,Yes,,,,,,,,,,
915,Lijia Tan,lijia,tan,Team production with endogenous costly monitoring,No,,,,,,,False,,False,
916,Lijia Wei,lijia,wei,The Gender Leadership Gap: An Experiment,No,,,,,,,False,,False,
917,Lilia Zhurakhovska,lilia,zhurakhovska,"Split In Probability Weights - Scarcity, Cognitive Load And Tunnelling",No,,,,,,,False,,False,
918,Lina Diaz,lina,diaz,"""Preference for Homogeneity? Occupational Segregation and Gender Stereotypes""",No,,,,,,,False,,False,
919,Lina Lozano,lina,lozano,Do women shy away from risky skill games?,No,,,,,,,False,,False,
920,Lina Maria Restrepo-Plaza,lina,restrepo-plaza,Pretrial Settlement and Coercion: an Experiment,No,,,,,,,False,,False,
921,Lina Ramirez,lina,ramirez,"""Understanding the Efficacy of Early Childhood Interventions: Insights from Kinderprep and a Replication""",Yes,,,,,,,,,,
922,Linda Kamas,linda,kamas,"""Can Matching Grants Help New Charities Compete with Estabilished Charirites?""",No,,,,,,,False,,False,
923,Linda KAMAS,linda,kamas,Measuring agents' overreaction to public information in beauty contest games,No,,,,,,,False,,False,
924,Linda Thunstrom,linda,thunstrom,,No,,,,,,,False,,False,
925,Linfeng Li,linfeng,li,,No,,,,,,,False,,False,
926,Lingbo Huang,lingbo,huang,"""Threshold Incentives and Academic Performance""",Yes,,,,,,,,,,
927,Lingfang  Li,lingfang,li,Easy come easy go: a strong and immediate conversion effect that was also short-lived,No,,,,,,,False,,False,
928,Lingqing Jiang,lingqing,jiang,Synergies of interventions to tackle climate change,No,,,,,,,False,,False,
929,Linh Vu,linh,vu,"""Anchor or Asset? The Role of Outside Obligations in Negotiations""",No,,,,,,,False,,False,
930,Linnea Wickstrom Ostervall,linnea,ostervall,The Demand for Expressing Emotions,No,,,,,,,False,,False,
931,Lionel Page,lionel,page,"""The Titanic effect: an experimental study of turnout in groupwise weighted voting""",No,,,,,,,False,,False,
932,Lisa Bruttel,lisa,bruttel,"""Gender differences in the willingness to compete against a standard""",No,,,,,,,False,,False,
933,Lisa Lenz,lisa,lenz,Speed Networking,No,,,,,,,False,,False,
934,Lisa Spantig,lisa,spantig,The Individual-Team Discontinuity Effect on Institutional Choices: Experimental Evidence in Voluntary Public Goods Provision,Yes,,,,,,,,,,
935,Lisa Windsteiger,lisa,windsteiger,The role of the advisor in risky decisions,No,,,,,,,False,,False,
936,Lise Vesterlund,lise,vesterlund,"""Agents' interaction and price dynamics: a lesson from the lab""",Yes,,,,,,,,,,
937,Lise VESTERLUND,lise,vesterlund,“Adverse Selection in Conservation Auctions: Theoretical and Experimental Results”,Yes,,,,,,,,,,
938,Lisette Ibanez,lisette,ibanez,"""Facial Expression Communications in Human/Human and Human/Machine Interactions""",No,,,,,,,False,,False,
939,Liu Yihong,liu,yihong,,No,,,,,,,False,,False,
940,Liza Charroin,liza,charroin,How Do Gender Quotas Affect Hierarchical Relationships? Complementary Evidence from a Representative Survey and Labor Market Experiments,No,,,,,,,False,,False,
941,Lluis Bru,lluis,bru,Understanding Overbidding in Second Price Auctions,No,,,,,,,False,,False,
942,Lonie Sebagh,lonie,sebagh,How Do Emotional States Impact Monetary Donation to Environmental NGOs?,No,,,,,,,False,,False,
943,Lorenz Goette,lorenz,goette,"""Cognitive Imprecision and Strategic Behavior""",Yes,,,,,,,,,,
944,Lorenzo Estepa Mohedano,lorenzo,mohedano,"""The Gift of Giving: Disclosing Tribute Donation Size and Taboo Charitable Behavior""",No,,,,,,,False,,False,
945,Lorenzo Spadoni,lorenzo,spadoni,"""Randomization behaviour and reliability of preference elicitation""",No,,,,,,,False,,False,
946,Lory Barile,lory,barile,"""Moral Rules and Social Preferences in Co-operation Problems""",No,,,,,,,False,,False,
947,Louis LEVY-GARBOUA,louis,levy-garboua,"“Discretionary Latitude and Relational Contracts""",No,,,,,,,False,,False,
948,Louis Lévy-Garboua,louis,lévy-garboua,Risk Elicitation Measures Do Not Always Fail,No,,,,,,,False,,False,
949,Louis Putterman,louis,putterman,Does social cognition make us irrational? Insights from comparative psychology,No,,,,,,,False,,False,
950,Louis PUTTERMAN,louis,putterman,“Market Competition and Contracting Outcomes”,No,,,,,,,False,,False,
951,Loukas Balafountas,loukas,balafountas,Bubbles and Experience: An Experiment with a Steady Inflow of New Traders,No,,,,,,,False,,False,
952,Loukas Balafoutas,loukas,balafoutas,"""Dynamic Coordination with Switching Costs""",No,,,,,,,False,,False,
953,Lu Dong,lu,dong,Competitiveness and Employability,No,,,,,,,False,,False,
954,Lu He,lu,he,,No,,,,,,,False,,False,
955,Luba Petersen,luba,petersen,Online Belief Elicitation,No,,,,,,,False,,False,
956,Lubomir Cingl,lubomir,cingl,Labor Market Concerns and Attitudes Towards Immigrants,No,,,,,,,False,,False,
957,Luca Carduck-Eick,luca,carduck-eick,"""Error reporting - The role of the reporting channel""",No,,,,,,,False,,False,
958,Luca Corazzini,luca,corazzini,Personal and societal conflict of redistributive principles and preferences,No,,,,,,,False,,False,
959,Luca CORAZZINI,luca,corazzini,Behaviorally prominent equilibria: A journey inside bounded rationality,No,,,,,,,False,,False,
960,Luca Fumarco,luca,fumarco,"""An Experimental Study of Decentralized Matching""",No,,,,,,,False,,False,
961,Luca Henkel,luca,henkel,"""Optimal (un)coordination under uncertainty: testing information design in the laboratory""",No,,,,,,,False,,False,
962,Luca Panaccione,luca,panaccione,The effect of economic distress on discriminatory behavior,No,,,,,,,False,,False,
963,Luca STANCA,luca,stanca,“Money and Minutia: The Domain-Specificity of Time Preference”,Yes,,,,,,,,,,
964,Lucas Braun,lucas,braun,"""Real-Time Monitoring at the Workplace""",No,,,,,,,False,,False,
965,Lucas Coffman,lucas,coffman,"""Group Image Concerns""",Yes,,,,,,,,,,
966,Lucas COFFMAN,lucas,coffman,“Institutions for Long-Run Cooperation: Experiments on Markets with Frictions”,Yes,,,,,,,,,,
967,Lucas Reddinger,lucas,reddinger,,No,,,,,,,False,,False,
968,Lucas Rentschler,lucas,rentschler,"""Role of Reciprocity and Expectations in a Pay-What-You-Want Environment: Evidence from the Field""",Yes,,,,,,,,,,
969,Ludovica Orlandi,ludovica,orlandi,"""Sequential voting with costly information""",No,,,,,,,False,,False,
970,Ludovica Spinola,ludovica,spinola,"Integrity Education, Market Intermediaries and Corruption",No,,,,,,,False,,False,
971,Luigi Butera,luigi,butera,Panel,Yes,,,,,,,,,,
972,Luigi BUTERA,luigi,butera,“Women’s Labor Choices in Promotion Tournaments: Experimental Evidence”,Yes,,,,,,,,,,
973,Luigi MITTONE,luigi,mittone,Favoritism practices at a young age: Evidence from the field,No,,,,,,,False,,False,
974,Luis Avalos Trujillo,luis,trujillo,,No,,,,,,,False,,False,
975,Luis Miller,luis,miller,“Kinks and Notches in the Lab”,No,,,,,,,False,,False,
976,Lukas Bolte,lukas,bolte,Can it Ever Hurt to Ask? Advice-Seeking and Gender,No,,,,,,,False,,False,
977,Lukas Hohl,lukas,hohl,Keeping it for yourself or your sister? Experimental evidence on birth order effects on resource distribution between kin and non-kin,No,,,,,,,False,,False,
978,Lukas Wenner,lukas,wenner,Self-confidence and unraveling in matching markets,No,,,,,,,False,,False,
979,Lukasz Tanajewski,lukasz,tanajewski,"""Social Status and public spiritedness in representation: Experimental evidence from Borneo""",No,,,,,,,False,,False,
980,Luke A. Boosey,luke,boosey,"""Embezzlement: Does Transparency Of Information Matter?""",No,,,,,,,False,,False,
981,Luke Boosey,luke,boosey,“Correlated Equilibria and Forecasts based on Naive Play in Hawk-Dove Games”,No,,,,,,,False,,False,
982,Luke Jones,luke,jones,On Measuring Ambiguity Aversion,No,,,,,,,False,,False,
983,Luke Lindsay,luke,lindsay,The Common-Probability Auction Puzzle,No,,,,,,,False,,False,
984,Lutfi Rahimi,lutfi,rahimi,"Rumor, information disclosure and food market fraud",No,,,,,,,False,,False,
985,Lutfunnahar Begum,lutfunnahar,begum,Capture vs. Recruitment of Subjects in Experiments Measuring Social Preferences,No,,,,,,,False,,False,
986,Luyao Zhang,luyao,zhang,,Yes,,,,,,,,,,
987,Lyla Zhang,lyla,zhang,Liquidity Requirements and the Interbank Loan Market: An Experimental Investigation,Yes,,,,,,,,,,
988,M. Kathleen Ngangoue,m.,ngangoue,"Overriding in teams: The role of beliefs, social image, and gender",No,,,,,,,False,,False,
989,Mackenzie Alston,mackenzie,alston,Let them play games! Comparing incentivized coordination games to elicit cultural beliefs with un-incentivized surveys,No,,,,,,,False,,False,
990,Madeline Werthschulte,madeline,werthschulte,"""Divisive Normalisation of Value Explains Choice-reversals in Decision-making Under Risk""",No,,,,,,,False,,False,
991,Magnus Knutsen,magnus,knutsen,Peers and Praise – Dishonesty in Repeated Competitions,No,,,,,,,False,,False,
992,Magnus Vaage Knutsen,magnus,knutsen,In-group bias in prisons,No,,,,,,,False,,False,
993,Maik Kecinski,maik,kecinski,"""Complexity and Sophistication""",No,,,,,,,False,,False,
994,Maivand Sarin,maivand,sarin,"""Investigating the introduction of a fintech advancement designed to reduce limited attention regarding inactive saving accounts - data, survey, and field experiment""",No,,,,,,,False,,False,
995,Maj-Britt Sterba,maj-britt,sterba,"""Taming Tech Giants' Algorithms: what do consumers know (and want)? An analysis of the Amazon Buy-Box case",No,,,,,,,False,,False,
996,Maja Adena,maja,adena,Behavioral Time Allocation,No,,,,,,,False,,False,
997,Malcolm Kass,malcolm,kass,Compulsory versus Voluntary Insurance: A Real Experiment,No,,,,,,,False,,False,
998,Mallory Avery,mallory,avery,Information avoidance with respect to intentions,No,,,,,,,False,,False,
999,Malte Baader,malte,baader,“Cooperation and Corruption”,No,,,,,,,False,,False,
1000,Mana Komai,mana,komai,"""Conscience Crashing""",No,,,,,,,False,,False,
1001,Manu Munoz Herrera,manu,herrera,"""Commitment vs. Flexibility: The Role of Experience""",No,,,,,,,False,,False,
1002,Manuel Grieder,manuel,grieder,"""The Impact of Background Ambiguity On Risk Taking- Evidence From The Lab""",No,,,,,,,False,,False,
1003,Manuel Hoffmann,manuel,hoffmann,"""Carbon Leakage from Road Transportation: Evidence from a Natural Experiment""",No,,,,,,,False,,False,
1004,Manuel Munoz,manuel,munoz,"""Exclusive Dealing with Committed Price""",No,,,,,,,False,,False,
1005,Manuela Angelucci,manuela,angelucci,"""Depression and Technology Adoption: Evidence from India""",No,,,,,,,False,,False,
1006,Manwei Liu,manwei,liu,Extortion and contribution game: rationality versus fairness,No,,,,,,,False,,False,
1007,Maoliang Ye,maoliang,ye,"Investigating the Introduction of a Regulatory Fintech Advancement Designed to Reduce Limited Attention Regarding Inactive Saving Accounts - Data, Survey, and Field Experiment",No,,,,,,,False,,False,
1008,Marc Kaufmann,marc,kaufmann,Competition and Efficiency of Public Procurement,No,,,,,,,False,,False,
1009,Marc Schürer,marc,schürer,Information and beliefs in a repeated normal-form game,No,,,,,,,False,,False,
1010,Marc VORSATZ,marc,vorsatz,Reciprocity and status in a virtual field experiment,No,,,,,,,False,,False,
1011,Marc Willinger,marc,willinger,"""Do Group Liability and Bigger Group Size Induce Free Riding Behavior among Microfinance Borrowers?""",No,,,,,,,False,,False,
1012,Marc WILLNGER,marc,willnger,The Dynamics of Trader Motivations in Asset Bubbles,No,,,,,,,False,,False,
1013,Marcel Preuss,marcel,preuss,Give Me a Challenge or Give Me a Raise,No,,,,,,,False,,False,
1014,Marcela Ibanez,marcela,ibanez,Social Comparison and Contribution to Online Communities: A Field Experiment on MovieLens,No,,,,,,,False,,False,
1015,Marcela Ibanez Diaz,marcela,diaz,Are there attraction and compromise effects in bargaining? Experimental evidence,No,,,,,,,False,,False,
1016,Marcello Negrini,marcello,negrini,Endogenous vs. Exogenous Nudges in Social Dilemmas: An Online Experiment on Public Goods,No,,,,,,,False,,False,
1017,Marcello Puca,marcello,puca,"""Resilience and Cooperation""",No,,,,,,,False,,False,
1018,Marcelo SANCHEZ,marcelo,sanchez,Co-Employment of Permanent and Temporary Workers: Fairness Concerns and Social Comparison under Mult,No,,,,,,,False,,False,
1019,Marcelo Tyszler,marcelo,tyszler,Goal Setting and Monetary Incentives. When Large Stakes Are Not Enough,No,,,,,,,False,,False,
1020,Marcelo TYSZLER,marcelo,tyszler,"Cooperation and (multiple) third-party interventions through observation, reward and punishment",No,,,,,,,False,,False,
1021,Marco A. Schwarz,marco,schwarz,Anger and Strategic Behavior: A Level-k Analysis,No,,,,,,,False,,False,
1022,Marco Angrisani,marco,angrisani,"""The Curious Story of the Red Packet Game: A Behavioral & Labor Market Analysis of How WeChat Changed the Nature of Yearly Bonus Payments in China:",No,,,,,,,False,,False,
1023,Marco Pelliccia,marco,pelliccia,Empowering girls: A randomized trial on mHealth ‘safe spaces’ during COVID-19,No,,,,,,,False,,True,NO EXPERIMENTS: https://sites.google.com/view/marcopelliccia/research?authuser=0
1024,Marco Santorsola,marco,santorsola,"""Perceived Present Bias and Demand for Commitment""",No,,,,,,,False,,True,NO EXPERIMENTS: https://www.linkedin.com/in/marco-santorsola/details/publications/
1025,Margaret McConnell,margaret,mcconnell,Intermediaries in Corruption: An Experiment,Yes,,,,,,,,,True,
1026,Maria Marino,maria,marino,Merit in a Society of Unequal Opportunity,No,,,,,,,False,,False,
1027,Maria Mavlikeeva,maria,mavlikeeva,Color me honest! Time pressure and dis(honest) behavior,No,,,,,,,False,,False,
1028,Maria Montero,maria,montero,"“A Survey on Attitudes Towards Deception in Experimental Economics,” ",No,,,,,,,False,,False,
1029,Maria P. Recalde,maria,recalde,Is prompting participants to plan successful? Field evidence from MOOCs,No,,,,,,,False,,False,
1030,Maria Polipciuc,maria,polipciuc,Choice under Uncertainty and Cognitive Load,No,,,,,,,False,,False,
1031,Maria Porter,maria,porter,"""Fear and rationality of decision-making in the face of the pandemic""",No,,,,,,,False,,False,
1032,Maria Recalde,maria,recalde,,No,,,,,,,False,,False,
1033,Mariah Ehmke,mariah,ehmke,Inequality and Relative Ability Beliefs,No,,,,,,,False,,False,
1034,Mariana Blanco,mariana,blanco,"""Moral hazard and excess returns in markets""",No,,,,,,,False,,False,
1035,Mariana Carrera,mariana,carrera,"""Delegation and overhead aversion with multiple threshold public goods""",No,,,,,,,False,,False,
1036,Marianna Baggio,marianna,baggio,"""The Shape of Moral Values""",No,,,,,,,False,,False,
1037,Marianne Lumeau,marianne,lumeau,"""Deadlines, Procrastination, and Inattention in Charitable Giving: A Field Experiment""",No,,,,,,,False,,False,
1038,Marianne LUMEAU,marianne,lumeau,“Heterogeneity of Ambiguity Preferences”,No,,,,,,,False,,False,
1039,Marianne Stephanides,marianne,stephanides,Exploration versus exploitation: an RCT in public administration in the Netherlands,No,,,,,,,False,,False,
1040,Marie Boltz,marie,boltz,Racing towards a finishing line: Theory and experiment,No,,,,,,,False,,False,
1041,Marie Claire Villereal,marie,villereal,"""Continuous (vs binary) set of responses yields different outcomes""",No,,,,,,,False,,False,
1042,Marie Claire Villeval,marie,villeval,Persuadable or Dissuadable Altruists? The Impact of News of Recipient Characteristics on Giving,Yes,,,,,,,,,,
1043,Marie Claire VILLEVAL,marie,villeval,“Endogenous Income Effects and Overflow Risk in Peer Punishment Experiments”,Yes,,,,,,,,,,
1044,Marie GOPPELSROEDER,marie,goppelsroeder,"“Sense of Unity and the Holdup Problem: A Behavioral Study of Firm Boundaries""",No,,,,,,,False,,False,
1045,Marie Pierre DARGNIES,marie,dargnies,Insurance purchase for lowprobability losses,No,,,,,,,False,,False,
1046,Marie-Charlotte Guetlein,marie-charlotte,guetlein,Belief Update and Mispricing in Stock Markets: Theory and Experiment,No,,,,,,,False,,False,
1047,Marie-Claire Villeval,marie-claire,villeval,"""Public Information and Coordination with a Divided Majority""",Yes,,,,,,,,,,
1048,Marie-Pierre Dargnies,marie-pierre,dargnies,"""Media Bias, Fake News, and Noncommitted Voters: Explorations using a Simple Voting Game""",No,,,,,,,False,,False,
1049,Marieta Valente,marieta,valente,"""Trust in an expert depending on the expert's gender and the individual's characteristics: An experiment""",No,,,,,,,False,,False,
1050,Marieta VALENTE,marieta,valente,“Cooperation Spillovers in Research and Price Competition in Experimental Markets”,No,,,,,,,False,,False,
1051,Marina Agranov,marina,agranov,Preferences and Decision Support in Competitive Bidding,No,,,,,,,False,,False,
1052,Marina Chugnova,marina,chugnova,"Risk Preferences of a UK Representative Sample: Temporal Stability, Cross-Validity, and External Validity of Experimental Measures",No,,,,,,,False,,False,
1053,Marina Chugunova,marina,chugunova,"""Public Information and Coordination with a Divided Majority""",No,,,,,,,False,,False,
1054,Marina FIEDLER,marina,fiedler,Voting for punishment systems in a voluntary contributions game with heterogeneous agents,No,,,,,,,False,,False,
1055,Marina Krauss,marina,krauss,"""Empirical Challenges of Multivalued Treatment Effects""",No,,,,,,,False,,False,
1056,Marina Pavan,marina,pavan,Reviewing and Predicting Cooperation in Prisoner's Dilemma Games: A Meta-Study,No,,,,,,,False,,False,
1057,Marina Schroder,marina,schroder,"""Risk Preferences And Price Trends In Sequential Auctions: An Experimental Study""",No,,,,,,,False,,False,
1058,Marina Schroeder,marina,schroeder,"""Imperfect Tacit Collusion and Asymmetric Price Transmission""",No,,,,,,,False,,False,
1059,Mario Intini,mario,intini,"""Evaluation of Social Preference Representation Using CES Function""",No,,,,,,,False,,False,
1060,Mario Mechtel,mario,mechtel,Gender Quotas and Task Assignment in Organizations,Yes,,,,,,,,,,
1061,Marisa Hidalgo,marisa,hidalgo,Primate patience: from foraging to cooperation,No,,,,,,,False,,False,
1062,Marissa Lepper,marissa,lepper,,No,,,,,,,False,,False,
1063,Marissa Samuels,marissa,samuels,,No,,,,,,,False,,False,
1064,Marius Alt,marius,alt,Optimal (mis-)coordination under uncertainty: Testing information design in the laboratory,No,,,,,,,False,,False,
1065,Marius Dietsch,marius,dietsch,"""An Experimental Investigation of Global Games with Strategic Substitutes.""",No,,,,,,,False,,False,
1066,Mark Dean,mark,dean,An experimental study of Double-Track auction,No,,,,,,,False,,False,
1067,Mark Harrison,mark,harrison,“Epistemic Foundations for the Failure of Nash Equilibrium”,No,,,,,,,False,,False,
1068,Mark Isaac,mark,isaac,Another willingness than the willingness to pay for food attributes,No,,,,,,,False,,False,
1069,Mark Owens,mark,owens,"Attention, revealed preferences, and consequentialist behavior",No,,,,,,,False,,False,
1070,Mark Schneider,mark,schneider,"""Noblesse Oblige: Holding High-Status Individuals to Higher Standards""",No,,,,,,,False,,False,
1071,Markus Dertwinkel-Kalt,markus,dertwinkel-kalt,,No,,,,,,,False,,False,
1072,Markus Eyting,markus,eyting,"""Perceived Relative Income and Revealed Preferences for Public Good Contributions: An application to air pollution""",No,,,,,,,False,,False,
1073,Markus Mobius,markus,mobius,“An Experimental Study of Information Search and Decision-Making with Interactive Technology”,No,,,,,,,False,,False,
1074,Markus Noth,markus,noth,Exploring gender differences in preferences over competition using switch points and relative payoffs,No,,,,,,,False,,False,
1075,Markus Vomhof,markus,vomhof,Lying for Others: The impact of agency on misreporting in in an economic laboratory experiment,Yes,,,,,,,,,,
1076,Maros Servatka,maros,servatka,,No,,,,,,,False,,False,
1077,Maroš Servátka,maroš,servátka,Do Fixed-Prize Lotteries Crowd-Out Public Good Contributions Driven by Social Preferences?,No,,,,,,,False,,False,
1078,Marta COELHO,marta,coelho,“Social Preference and Social Image: A Mousetracking Study”,No,,,,,,,False,,False,
1079,Marta Kozakiewicz,marta,kozakiewicz,""" Delegated Portfolio Management and Incentive Contract in Social Trading Networks: An Experiment""",No,,,,,,,False,,False,
1080,Marta Maras,marta,maras,"""Deciphering the Noise""",No,,,,,,,False,,False,
1081,Marta MARAS,marta,maras,“Can feedback reduce the unskilled-and-unaware problem?”,No,,,,,,,False,,False,
1082,Marta Serra-Garcia,marta,serra-garcia,"""The Design, Implementation, Performance, and General Equilibrium Dynamics of a Large, Multi-Market, Policy Constrained Auction""",No,,,,,,,False,,False,
1083,Martin Abel,martin,abel,Groups and Socially Responsible Production: An Experiment with Farmers,No,,,,,,,False,,False,
1084,Martin Angerer,martin,angerer,Frequent Reminders? A Natural Field Experiment with Taxpayers,No,,,,,,,False,,False,
1085,Martin Bichler,martin,bichler,"""Even Brothers Keep Careful Accounts: An Experimental Repeated Trust Game and Political Identity""",No,,,,,,,False,,False,
1086,Martin Casal Iglesias,martin,iglesias,Weak moral motivation leads to the decline of voluntary contributions,No,,,,,,,False,,False,
1087,Martin Duwfenberg,martin,duwfenberg,Comparing the Strength of Self-Interest and Social Motivations,No,,,,,,,False,,False,
1088,Martin G. Kocher,martin,kocher,A Finite Mixture of Behaviors in the Care Game,No,,,,,,,False,,False,
1089,Martin Kocher,martin,kocher,Coauthor Penalty - Evidence from the lab,No,,,,,,,False,,False,
1090,Martin Kocker,martin,kocker,Stereotypes in wine tasting,No,,,,,,,False,,False,
1091,Martin Schmidt,martin,schmidt,"""Selection Into Competition And Advice From Men And Women""",No,,,,,,,False,,False,
1092,Martin STROBEL,martin,strobel,Goals and incentives,No,,,,,,,False,,False,
1093,Martin Vollmann,martin,vollmann,Overestimation and Competition: Evidence From The Lab,No,,,,,,,False,,False,
1094,Martina Cecchini,martina,cecchini,Voluntary donations and reward oriented contributions: A field experiment on framing in a donation- based crowdfunding campaign,No,,,,,,,False,,False,
1095,Martina Feherova,martina,feherova,"""Cooperation and Trust under the Influence of Alcohol""",No,,,,,,,False,,False,
1096,Martina Vecchi,martina,vecchi,Price norms and consumer behavior,Yes,,,,,,,,,,
1097,Martine Visser,martine,visser,Making an educated guess,No,,,,,,,False,,False,
1098,Mary Rigdon,mary,rigdon,,No,,,,,,,False,,False,
1099,Masamichi Sakagami,masamichi,sakagami,How level should the starting line be? Procedural fairness and wealth distribution in ultimatum games,No,,,,,,,False,,False,
1100,Masao Fukutomi,masao,fukutomi,"""Artificial vs. emotional intelligence in Prisoner's Dilemma""",No,,,,,,,False,,False,
1101,Masaru Sasaki,masaru,sasaki,Information-processing styles in the presence of abundant information: An experimental analysis,No,,,,,,,False,,False,
1102,Matej Lorko,matej,lorko,Policy Incentives and Determinants of Citizens’ COVID-19 Vaccination Motives,No,,,,,,,False,,False,
1103,Mathieu Lefebvre,mathieu,lefebvre,Probabilistic Reward Schemes: Experimental Evidence,No,,,,,,,False,,False,
1104,Matias Cersosimo,matias,cersosimo,“To Learn or Not to Learn: Gender Stereotypes and Long-Term Effects of Temporary Affirmative Action”,No,,,,,,,False,,False,
1105,Matias Strehl,matias,strehl,,No,,,,,,,False,,False,
1106,Mats PERSSON,mats,persson,“An Experiment Evaluating the Distribution of Decision-Control Rights and Their Effect on Performance”,No,,,,,,,False,,False,
1107,Matt Goldman,matt,goldman,"""Teams Contribute More And Punish Less""",No,,,,,,,False,,False,
1108,Matt McMahon,matt,mcmahon,“Secondary Currency Acceptance: Experimental Evidence with a Dual Currency Search Model”,No,,,,,,,False,,False,
1109,Matt Van Essen,matt,essen,"""Group Formation And Performance""",No,,,,,,,False,,False,
1110,Matt Wiser,matt,wiser,Disclosure of Socially Responsible Product Information in Competitive Markets,No,,,,,,,False,,False,
1111,Matteo Galizzi,matteo,galizzi,Looking at creativity from east to west: risk taking and intrinsic motivation in socially and culturally diverse countries,No,,,,,,,False,,False,
1112,Matteo GALIZZI,matteo,galizzi," ""Varying Ecological Validity in the Laboratory""",No,,,,,,,False,,False,
1113,Matteo Maria Marini,matteo,marini,"Self selection, competition, and the willingness to share",No,,,,,,,False,,False,
1114,Matteo Migheli,matteo,migheli,"""Intelligence Disclosure and Cooperation in Repeated Interactions""",No,,,,,,,False,,False,
1115,Matteo Ploner,matteo,ploner,"""Heterogeneous Beliefs: a Study of Causal Impact of Individual Beliefs on Vaccine Decisions""",No,,,,,,,False,,False,
1116,Matteo PLONER,matteo,ploner,Coordination failure? Individual decision making under different guessing games,No,,,,,,,False,,False,
1117,Matteo Ruzzante,matteo,ruzzante,"""Is feedback always positive? Experimental evidence from public schools in Peru""",No,,,,,,,False,,False,
1118,Matteo Scacchi,matteo,scacchi,Eliciting family norms in a representative survey,No,,,,,,,False,,False,
1119,Matthew Embrey,matthew,embrey,“Which is Better for Green Markets: Subsidies or Surcharges? An Experimental Analysis”,No,,,,,,,False,,False,
1120,Matthew Hashim,matthew,hashim,Testable Implications of Level-k Thinking,No,,,,,,,False,,False,
1121,Matthew Jones,matthew,jones,An Experimental Analysis of Charitable Donations of Time and Money,Yes,,,,,,,,,,
1122,Matthew McMahon,matthew,mcmahon,Do Markets Crowd out Morals? Field Experimental Evidence from the Last People's Commune in China,No,,,,,,,False,,False,
1123,Matthew R. ROELOFS,matthew,roelofs,“Endogenous Prospect Theory”,No,,,,,,,False,,False,
1124,Matthew Rabin,matthew,rabin,The Evolution of Behavior in the Marketplace: Evidence from an Exchange Experiment in Rural Sierra Leone,Yes,,,,,,,,,,
1125,Matthew Ridley,matthew,ridley,,No,,,,,,,False,,False,
1126,Matthew Roelofs,matthew,roelofs,“The Impact of Price Frames on Consumer Decision Making”,No,,,,,,,False,,False,
1127,Matthew Taylor,matthew,taylor,“An Experimental Investigation of Supplier Coordination With EndogenouslySelected Groups”,No,,,,,,,False,,False,
1128,Matthew Walker,matthew,walker,"""Voluntary Partnerships and Cooperation: An Experimental Study""",Yes,,,,,,,,,,
1129,Matthew White Ridley,matthew,ridley,"""Experimental Commodity Markets with Storage""",No,,,,,,,False,,False,
1130,Matthias Greiff,matthias,greiff,Dominated Contracts in Team Production,No,,,,,,,False,,False,
1131,Matthias Praxmarer,matthias,praxmarer,Better do it together: The relativity of moral judgments,No,,,,,,,False,,False,
